id,transaction_id,summary,retrieval_query,typology_analysis,sar_draft,retrieved_sources,category,match_strength
1,0,"The transaction involved a cash out of $143,332.00 from the origin account, which was fully drained as a result. The destination account received the funds, increasing its balance from $482,652.15 to $626,984.15, but the reported balance after the transaction was $716,367.34, indicating a discrepancy. The origin account had no balance error, while the destination account had a balance error of -$90,383.19. This suggests an inconsistency in the destination account's balance reporting.",rapid full account drain immediate large withdrawal after account access account takeover,"The evidence supports the category of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD. The FinCEN advisory (FIN-2011-A016) provides guidance on identifying account takeover activity, which includes inconsistencies with a customer's normal account activity, such as unusual transactions or changes to customer and account profiles. The transaction summary's mention of a balance discrepancy in the destination account, indicating an inconsistency in balance reporting, aligns with the advisory's description of potential account takeover activity. Although the match is not extremely strong, the advisory's discussion of account takeover characteristics, such as unauthorized access and inconsistencies in account activity, provides a more plausible explanation for the transaction than the characteristics of money laundering typologies.","## Transaction Overview
The subject transaction involved a cash out of $143,332.00 from the origin account, resulting in the account being fully drained. The funds were transferred to a destination account, which initially had a balance of $482,652.15. Following the transaction, the balance of the destination account was reported to be $626,984.15, but a subsequent report indicated a balance of $716,367.34, revealing a discrepancy. Notably, the origin account did not exhibit any balance errors, whereas the destination account showed a balance error of -$90,383.19, suggesting an inconsistency in the reporting of its balance.

## Red Flags Identified
Several red flags have been identified in this transaction. Firstly, the significant cash out from the origin account, which resulted in the account being fully drained, is unusual and warrants scrutiny. Additionally, the discrepancy in the reported balance of the destination account, coupled with the balance error, indicates potential inconsistencies in account activity and balance reporting. These inconsistencies are red flags that may suggest unauthorized access or manipulation of the destination account.

## Typology Match
The characteristics of this transaction align with the ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD typology, as outlined in the FinCEN advisory (FIN-2011-A016). The advisory highlights inconsistencies in customer account activity, such as unusual transactions or changes to customer and account profiles, as indicators of potential account takeover activity. Although the match is not extremely strong, the presence of a balance discrepancy and inconsistency in balance reporting in the destination account provides a plausible explanation for the transaction that is more aligned with account takeover characteristics than with money laundering typologies.

## Recommended Action
Based on the analysis, it is recommended to file a Suspicious Activity Report (SAR) with FinCEN. The inconsistencies in the transaction, particularly the balance discrepancy and error in the destination account, along with the significant cash out from the origin account, justify further scrutiny and reporting. Filing a SAR will facilitate a more comprehensive review and potentially aid in the identification and prevention of further unauthorized or fraudulent activities.","[""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf""]",Account Takeover,Strong
2,1,"This transaction is a transfer of $87,622.50 from the origin account to the destination account. The origin account was fully drained as a result, with its balance going from $87,622.50 to $0.00. However, the destination account balance remained at $0.00 after the transaction, which is unusual as the expected balance after the transfer would be $87,622.50. A balance error of $87,622.50 was recorded for the destination account.",malware credential theft sudden wire transfer unusual account activity account takeover unauthorized access,"The evidence supports the category of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD. The specific source document that justifies this classification is FIN-2011-A016.pdf, which describes account takeover activity as involving ""unauthorized access to PINs, account numbers, and other identifying information"" and notes that such activity can result in ""sudden wire transfers"" that are inconsistent with a customer's normal account activity. The transaction summary's description of the origin account being fully drained and the destination account balance remaining at $0.00 after the transaction is consistent with the characteristics of account takeover activity described in the FinCEN advisory. The match is relatively strong, as the unusual transaction pattern and balance error are indicative of unauthorized access to the origin account.","## Transaction Overview
The subject transaction involves a transfer of $87,622.50 from the origin account to the destination account, resulting in the origin account being fully drained with its balance going from $87,622.50 to $0.00. However, the destination account balance remained at $0.00 after the transaction, indicating a balance error of $87,622.50.

## Red Flags Identified
Several red flags have been identified in this transaction. Firstly, the origin account was fully drained in a single transaction, which is unusual and may indicate unauthorized access. Secondly, the destination account balance did not reflect the expected increase of $87,622.50 after the transfer, suggesting a potential issue with the transaction. The resulting balance error of $87,622.50 in the destination account further supports the presence of suspicious activity.

## Typology Match
The characteristics of this transaction are consistent with the ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD category, as described in FIN-2011-A016.pdf. The sudden and complete draining of the origin account, coupled with the inconsistent balance in the destination account, aligns with the patterns of account takeover activity outlined in the FinCEN advisory. The match is considered relatively strong due to the unusual transaction pattern and the presence of a balance error, which are indicative of unauthorized access to the origin account.

## Recommended Action
Based on the analysis, it is recommended to file a Suspicious Activity Report (SAR) with FinCEN. The unusual transaction pattern, balance error, and match with known account takeover typology warrant further investigation and reporting to regulatory authorities. Additionally, the transaction should be escalated for manual review to ensure that all necessary steps are taken to prevent potential fraud and protect the accounts involved.","[""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2016-A003.pdf"", ""ML_using_new_payment_methods.pdf""]",Account Takeover,Strong
3,2,"The transaction involved a cash out of $90,204.54 from the origin account, resulting in the origin account being fully drained to a balance of $0.00. The destination account received the full amount, increasing its balance from $0.00 to $90,204.54. The transaction was classified as a CASH_OUT type. The fact that the origin account was fully drained in a single transaction is notable, as is the large amount involved.",rapid full account drain immediate large withdrawal after account access account takeover,"The evidence supports the category of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD. The FinCEN advisory (FIN-2011-A016.pdf) provides guidance on identifying account takeover activity, which includes ""unusual"" and ""sudden"" transactions, such as the large cash out transaction described in the transaction summary. The advisory notes that account takeover activity often involves unauthorized access to account information, which is consistent with the origin account being fully drained in a single transaction. Although the match is not extremely strong, as the excerpts do not explicitly mention a single transaction draining an account, the language and context of the advisory suggest that account takeover is a more plausible explanation than money laundering typology.","## Transaction Overview
The subject transaction involved a cash out of $90,204.54 from the origin account, resulting in the origin account being fully drained to a balance of $0.00. The destination account received the full amount, increasing its balance from $0.00 to $90,204.54. This transaction was classified as a CASH_OUT type.

## Red Flags Identified
Notable red flags associated with this transaction include the large amount of $90,204.54 involved and the fact that the origin account was fully drained in a single transaction. These characteristics are unusual and warrant further scrutiny.

## Typology Match
The evidence supports a typology match with ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD, as guided by the FinCEN advisory (FIN-2011-A016.pdf). Although the advisory does not explicitly describe a single transaction draining an account, it does highlight ""unusual"" and ""sudden"" transactions as indicative of account takeover activity. The sudden and complete drainage of the origin account in this transaction aligns with the advisory's description of account takeover characteristics, suggesting unauthorized access to account information.

## Recommended Action
Based on the analysis, it is recommended to file a Suspicious Activity Report (SAR) due to the potential account takeover/unauthorized access fraud indicated by the large, sudden cash out transaction that fully drained the origin account. This action is necessary to report the suspicious activity to the appropriate regulatory authorities for further review and potential investigation.","[""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf""]",Account Takeover,Strong
4,3,"The transaction involved a cash out of $635,409.32 from the origin account, resulting in the origin account being fully drained to a balance of $0.00. The destination account received the funds, increasing its balance from $1,500,157.41 to $2,135,566.73. The transaction was processed without any balance errors at either the origin or destination accounts. The transaction type was classified as a CASH_OUT, indicating a withdrawal of funds from the origin account.",rapid full account drain immediate large withdrawal after account access account takeover,"The evidence supports the category of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD. The FinCEN advisory (FIN-2011-A016.pdf) provides guidance on identifying account takeover activity, which includes ""unusual"" transactions such as ""sudden wire transfers"" and ""changes to customer and account profiles"". The transaction summary, which describes a single large cash out transaction that fully drains the origin account, is consistent with the characteristics of account takeover activity described in the advisory. Although the match is not extremely strong, the advisory's description of account takeover activity as involving ""unauthorized access to... account numbers, and other identifying information"" (FIN-2011-A016.pdf) provides some justification for this classification.","## Transaction Overview
The transaction in question involved a cash out of $635,409.32 from the origin account, resulting in the account being fully drained to a balance of $0.00. The funds were transferred to a destination account, increasing its balance from $1,500,157.41 to $2,135,566.73. The transaction was processed without any balance errors and was classified as a CASH_OUT, indicating a withdrawal of funds from the origin account.

## Red Flags Identified
Several red flags have been identified in this transaction. The most notable is the large amount of the cash out, which fully drained the origin account. This sudden and significant withdrawal is unusual and warrants further scrutiny. Additionally, the transaction's characteristics, such as its size and the fact that it fully depleted the origin account, are indicative of potential fraudulent activity.

## Typology Match
The evidence supports a typology match with ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD, as described in the FinCEN advisory (FIN-2011-A016.pdf). The advisory highlights ""unusual"" transactions, including ""sudden wire transfers"" and changes to customer and account profiles, as indicative of account takeover activity. While the match is not extremely strong, the advisory's description of account takeover involving ""unauthorized access to... account numbers, and other identifying information"" provides some justification for this classification.

## Recommended Action
Based on the analysis, it is recommended to file a Suspicious Activity Report (SAR) with FinCEN. The transaction's characteristics, combined with the typology match, suggest potential account takeover or unauthorized access fraud. Filing a SAR will allow for further review and investigation into the transaction and potentially prevent further fraudulent activity. Additionally, the destination account and any related parties should be subject to enhanced monitoring to detect any subsequent suspicious transactions.","[""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf""]",Account Takeover,Strong
5,4,"This transaction is a transfer of $526,119.49 from the origin account to the destination account. The origin account was fully drained as a result, with its balance decreasing from $526,119.49 to $0.00. However, the destination account balance remained at $0.00 after the transaction, which is unusual as the expected balance after the transfer would be $526,119.49. A balance error of $526,119.49 was recorded for the destination account.",malware credential theft sudden wire transfer unusual account activity account takeover unauthorized access,"The evidence supports the category of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD. This classification is justified by the FinCEN advisory (FIN-2011-A016.pdf) which describes account takeover activity as involving ""unauthorized access to PINs, account numbers, and other identifying information"" and notes that such activity may involve ""sudden wire transfers"" that are inconsistent with a customer's normal account activity. The transaction summary's description of the origin account being fully drained and the destination account balance remaining at $0.00 after the transaction is consistent with the advisory's description of account takeover activity. The match is not weak, as the advisory provides specific guidance on identifying account takeover activity that aligns with the details of the transaction summary.","## Transaction Overview
A transaction was initiated, resulting in the transfer of $526,119.49 from the origin account to the destination account. This transfer completely depleted the origin account, changing its balance from $526,119.49 to $0.00. However, the destination account's balance remained unchanged at $0.00 following the transaction, indicating a discrepancy. The expected outcome would have been for the destination account's balance to increase by $526,119.49, but instead, a balance error of $526,119.49 was recorded.

## Red Flags Identified
Several red flags are associated with this transaction. Firstly, the origin account was fully drained in a single transaction, which is unusual and may indicate unauthorized access. Secondly, the destination account did not reflect the expected increase in balance after receiving the transfer, suggesting potential fraud or technical issues. These anomalies are inconsistent with normal account activity and warrant further investigation.

## Typology Match
The characteristics of this transaction align with the ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD category, as described in the FinCEN advisory (FIN-2011-A016.pdf). The advisory outlines that account takeover activity often involves unauthorized access to sensitive information and may result in sudden, uncharacteristic transactions. The specifics of this transaction, including the complete depletion of the origin account and the failure of the destination account to update its balance, match the patterns described in the advisory, indicating a strong typology match.

## Recommended Action
Based on the analysis, it is recommended to file a Suspicious Activity Report (SAR) with FinCEN. The evidence supports the classification of this transaction as potential account takeover/unauthorized access fraud, and the discrepancies in account balances suggest a significant risk of illicit activity. Filing a SAR will facilitate further investigation and potential action by regulatory and law enforcement agencies to mitigate any associated risks and prevent further fraudulent activity.","[""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2016-A003.pdf"", ""ML_using_new_payment_methods.pdf""]",Account Takeover,Weak
6,5,"This transaction involves a transfer of $36,996.83 from the origin account, which was fully drained as a result. The origin account balance decreased from $36,996.83 to $0.00, while the destination account balance remained at $0.00, despite the transfer. The transaction resulted in a balance error at the destination account, with a discrepancy of $36,996.83. This suggests that the transferred funds did not successfully credit to the destination account.",malware credential theft sudden wire transfer unusual account activity account takeover unauthorized access,"The evidence supports the category of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD. This classification is justified by the FinCEN advisory (FIN-2011-A016.pdf) which describes account takeover activity as involving ""unauthorized access to accounts"" and ""illicit intrusions into a customer’s account"", consistent with the transaction summary's indication of a fully drained origin account and a balance error at the destination account. The advisory also mentions ""sudden wire transfers"" as a potential indicator of account takeover activity, which aligns with the transaction summary's description of a single transfer of $36,996.83. The match is strong, as the FinCEN advisory provides specific guidance on identifying account takeover activity that closely matches the characteristics of the transaction in question.","## Transaction Overview
The transaction in question involves a transfer of $36,996.83 from an origin account, which was fully drained as a result, with its balance decreasing from $36,996.83 to $0.00. The destination account, however, remained at a balance of $0.00 despite the transfer, resulting in a balance error with a discrepancy of $36,996.83. This indicates that the transferred funds did not successfully credit to the destination account.

## Red Flags Identified
Several red flags have been identified in this transaction. Firstly, the origin account was fully drained in a single transaction, which is unusual and may indicate unauthorized access. Secondly, the destination account did not reflect the transferred amount, suggesting a potential issue with the transaction's legitimacy or a technical error that could be exploited for fraudulent purposes. These anomalies suggest that the transaction may not have been conducted in the normal course of business.

## Typology Match
The characteristics of this transaction align with the typology of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD, as described in the FinCEN advisory FIN-2011-A016.pdf. The advisory outlines indicators of account takeover activity, including unauthorized access to accounts, illicit intrusions into a customer’s account, and sudden wire transfers. The transaction in question matches these indicators, given the full drainage of the origin account and the sudden, large transfer that did not successfully credit to the destination account. This match suggests a strong likelihood of account takeover activity.

## Recommended Action
Based on the analysis, it is recommended to file a Suspicious Activity Report (SAR) with FinCEN. The evidence supports the classification of this transaction as potential account takeover/unauthorized access fraud, which warrants further investigation and reporting to regulatory authorities. Filing a SAR will facilitate the sharing of information among financial institutions and law enforcement agencies, potentially preventing further fraudulent activity and aiding in the recovery of lost funds. Additionally, the transaction should be escalated for manual review to ensure all necessary steps are taken to protect the customer's account and to comply with regulatory requirements.","[""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2016-A003.pdf"", ""ML_using_new_payment_methods.pdf""]",Account Takeover,Strong
7,6,"The transaction is a transfer of $7,316,255.05, which appears to have been attempted from an origin account with a balance of $17,316,255.05. However, the origin and destination balances before and after the transaction remain unchanged, indicating a potential issue with the transaction processing. The balance error calculations suggest that the transaction amount was not successfully deducted from the origin account or added to the destination account. The destination account balance remained at $0.00, despite the attempted transfer.",suspicious activity report large transaction financial institution monitoring red flags,"The evidence supports the category of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD. This classification is justified by the FinCEN advisory (FIN-2011-A016) which describes account takeover activity and methods used by cybercriminals to gain access to accounts, including malware and spyware. The transaction summary also suggests a potential issue with the transaction processing, with the origin and destination balances remaining unchanged, which could indicate an unauthorized access attempt. However, the match is somewhat weak, as the excerpts do not provide a direct link between the transaction summary and the account takeover activity, but the FinCEN advisory provides relevant context for considering this type of fraud.","## Transaction Overview
The subject transaction involves a transfer of $7,316,255.05 from an origin account with a balance of $17,316,255.05. Notably, the transaction did not result in a change to the balances of either the origin or destination accounts, with the origin account balance remaining at $17,316,255.05 and the destination account balance staying at $0.00. This discrepancy suggests a potential issue with the processing of the transaction.

## Red Flags Identified
Several red flags have been identified in relation to this transaction. Firstly, the transaction amount of $7,316,255.05 was not successfully deducted from the origin account, indicating a possible failure or interruption in the transaction processing. Secondly, the destination account, which had a balance of $0.00 before the transaction, did not receive the transferred amount, further highlighting the irregularity of the transaction. These anomalies raise concerns about the legitimacy and authorization of the transaction.

## Typology Match
The characteristics of this transaction align with the category of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD, as described in the FinCEN advisory (FIN-2011-A016). Although the direct link between the transaction summary and account takeover activity is not strongly established, the advisory provides context that supports considering this type of fraud. The potential issue with transaction processing, where balances remain unchanged, could indicate an attempt at unauthorized access or manipulation of the accounts involved.

## Recommended Action
Given the red flags identified and the typology match with ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD, it is recommended to file a Suspicious Activity Report (SAR) with FinCEN. The unusual nature of the transaction, coupled with the potential for unauthorized access, warrants further investigation and reporting to regulatory authorities. Additionally, the transaction should be escalated for manual review to ensure that all necessary steps are taken to secure the accounts involved and prevent potential further fraudulent activity.","[""2004_2005_ML_Typologies_ENG.pdf"", ""2004_2005_ML_Typologies_ENG.pdf"", ""2004_2005_ML_Typologies_ENG.pdf"", ""2004_2005_ML_Typologies_ENG.pdf"", ""2004_2005_ML_Typologies_ENG.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2016-A003.pdf"", ""FIN-2016-A003.pdf""]",Account Takeover,Weak
8,7,"The transaction is a transfer of $609,400.88, which completely drained the origin account. Notably, the destination account balance remained at $0.00 after the transaction, despite the large transfer amount. This resulted in a balance error at the destination account of $609,400.88, indicating a discrepancy in the transaction processing.",malware credential theft sudden wire transfer unusual account activity account takeover unauthorized access,"The evidence supports the category of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD. The transaction summary's description of the origin account being completely drained and the destination account balance remaining at $0.00, indicating a discrepancy in the transaction processing, is consistent with the account takeover activity described in FIN-2011-A016.pdf. This document advises financial institutions on identifying account takeover activity, which includes unauthorized access to accounts through methods such as malware, spyware, and social engineering, resulting in irregularities like sudden wire transfers. The match is strong, as the transaction summary's details align with the characteristics of account takeover activity outlined in the FinCEN advisory.","## Transaction Overview
The subject transaction involves a transfer of $609,400.88 from an origin account to a destination account. Notably, this transfer completely depleted the funds in the origin account. However, despite receiving this large sum, the destination account's balance remained at $0.00, indicating a significant discrepancy in the transaction processing. This discrepancy has resulted in a balance error of $609,400.88 in the destination account.

## Red Flags Identified
Several red flags have been identified in this transaction. Firstly, the complete draining of the origin account in a single transaction is unusual and warrants scrutiny. Secondly, the destination account's balance remaining unchanged at $0.00 after receiving a substantial transfer amount is highly irregular. This suggests potential manipulation or fraud related to the transaction. These irregularities collectively point towards potential unauthorized access or fraudulent activity.

## Typology Match
The characteristics of this transaction align closely with the typology of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD, as described in FIN-2011-A016.pdf. The advisory outlines that account takeover activity often involves unauthorized access to accounts through various means such as malware, spyware, and social engineering, leading to irregular transactions like sudden, large wire transfers. The specifics of this transaction, including the complete draining of the origin account and the discrepancy in the destination account's balance, match the patterns of account takeover activity outlined in the FinCEN advisory.

## Recommended Action
Given the strong match with the typology of account takeover/unauthorized access fraud and the presence of significant red flags, it is recommended to file a Suspicious Activity Report (SAR) with FinCEN. This transaction's characteristics suggest a high likelihood of fraudulent activity, and reporting it will facilitate further investigation and potential prevention of similar incidents. Additionally, the transaction should be escalated for manual review to ensure all relevant details are considered and to determine if any additional actions are required to protect the accounts and prevent further potential fraud.","[""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2016-A003.pdf"", ""ML_using_new_payment_methods.pdf""]",Account Takeover,Strong
9,8,"The transaction involved a transfer of $1,011,249.64 from the origin account, which was fully drained as a result. The destination account balance remained at $0.00 despite the transfer, indicating a discrepancy. A balance error of $1,011,249.64 was recorded at the destination account. The transaction resulted in the origin account being emptied, but the destination account showed no change in balance.",malware credential theft sudden wire transfer unusual account activity account takeover unauthorized access,"The evidence supports the category of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD. The transaction summary indicates a discrepancy in the destination account balance, suggesting unauthorized access, which is consistent with the description of account takeover activity in FIN-2011-A016.pdf. This document advises financial institutions on identifying account takeover activity, including irregularities such as sudden wire transfers, which is similar to the transaction in question. The match is strong, as the excerpts from FIN-2011-A016.pdf specifically mention wire transfer fraud and account takeover fraud, which aligns with the details of the transaction summary.","## Transaction Overview
The transaction in question involved a transfer of $1,011,249.64 from an origin account to a destination account. Notably, the origin account was fully drained as a result of this transaction. However, the destination account balance remained unchanged at $0.00, despite the significant transfer. This discrepancy is highlighted by a recorded balance error of $1,011,249.64 at the destination account, indicating that the funds did not successfully post to the intended account.

## Red Flags Identified
Several red flags are evident in this transaction. The primary concern is the discrepancy between the transfer amount and the lack of change in the destination account balance, suggesting a potential issue with the transaction's legitimacy. Additionally, the fact that the origin account was completely emptied while the destination account showed no update raises suspicions about the authenticity of the transaction. These irregularities point towards possible unauthorized access or fraudulent activity.

## Typology Match
The characteristics of this transaction align with the category of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD, as described in FIN-2011-A016.pdf. This guidance document outlines indicators of account takeover activity, including sudden and unexplained wire transfers, which is consistent with the details of the transaction in question. The strong match between the transaction's features and the typology described in FIN-2011-A016.pdf, particularly the aspects related to wire transfer fraud and account takeover fraud, supports the classification of this activity as suspicious.

## Recommended Action
Given the red flags identified and the typology match, it is recommended to file a Suspicious Activity Report (SAR) regarding this transaction. The discrepancies and potential for unauthorized access or fraud warrant further investigation and reporting to regulatory authorities. Escalation for manual review may also be considered to ensure that all relevant details are thoroughly examined and to determine if additional actions are necessary to protect the accounts and prevent potential future fraudulent activities.","[""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2016-A003.pdf"", ""ML_using_new_payment_methods.pdf""]",Account Takeover,Strong
10,9,"This transaction involves a transfer of $1,367,070.94 from the origin account, which was fully drained as a result. The origin account balance decreased from $1,367,070.94 to $0.00, while the destination account balance remained at $0.00, despite the transfer. A balance error of $1,367,070.94 was recorded at the destination account. The transaction is unusual in that the destination account balance did not change, indicating a potential discrepancy.",malware credential theft sudden wire transfer unusual account activity account takeover unauthorized access,"The evidence supports the category of ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD. This classification is justified by the FinCEN advisory (FIN-2011-A016.pdf) which describes account takeover activity as involving ""unauthorized access to accounts"" and ""illicit intrusions into a customer's account"", and the transaction summary showing a single account being rapidly drained. The fact that the destination account balance did not change despite the transfer also suggests a potential discrepancy, which is consistent with account takeover activity. The match is strong, as the FinCEN advisory provides specific guidance on identifying account takeover activity, including unusual transactions and changes to customer and account profiles, which aligns with the unusual transaction pattern observed in the transaction summary.","## Transaction Overview
A transaction was identified involving a transfer of $1,367,070.94 from an origin account to a destination account. The origin account was fully drained as a result, with its balance decreasing from $1,367,070.94 to $0.00. Notably, the destination account balance remained at $0.00 despite the transfer, and a balance error of $1,367,070.94 was recorded at the destination account. This discrepancy suggests a potential issue with the transaction.

## Red Flags Identified
Several red flags were identified in this transaction. The primary concern is the unusual nature of the transfer, where the destination account balance did not change despite receiving a significant amount of funds. This indicates a potential discrepancy or error in the transaction processing. Additionally, the rapid draining of the origin account in a single transaction is a suspicious activity that warrants further review.

## Typology Match
The evidence supports categorizing this activity as ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD, as described in the FinCEN advisory (FIN-2011-A016.pdf). The advisory outlines characteristics of account takeover activity, including unauthorized access to accounts and illicit intrusions into a customer's account. The transaction in question aligns with these characteristics, particularly given the unusual transaction pattern and the potential discrepancy indicated by the unchanged destination account balance.

## Recommended Action
Based on the analysis, it is recommended to file a Suspicious Activity Report (SAR) with FinCEN. The unusual transaction pattern, combined with the potential discrepancy and the match with the ACCOUNT TAKEOVER / UNAUTHORIZED ACCESS FRAUD typology, justify further reporting and investigation. Filing a SAR will facilitate a more thorough review of the transaction and potentially related activities, contributing to the prevention and detection of illicit financial activities.","[""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2011-A016.pdf"", ""FIN-2016-A003.pdf"", ""ML_using_new_payment_methods.pdf""]",Account Takeover,Strong
